TO,LH,RH,LK,RK,LA,RA
686.54,445.00,683.00,312.00,544.00,0.00,0.00
685.79,445.00,683.00,312.00,544.00,0.00,0.00
685.04,445.00,683.00,312.00,544.00,0.00,0.00
684.28,445.00,683.00,312.00,544.00,0.00,0.00
683.50,445.00,683.00,312.00,544.00,0.00,0.00
682.73,445.00,683.00,312.00,544.00,0.00,0.00
681.94,445.00,683.00,312.00,544.00,0.00,0.00
681.16,445.00,683.00,312.00,544.00,0.00,0.00
680.37,445.00,683.00,312.00,546.46,0.00,0.00
679.58,445.00,683.00,312.00,549.08,0.00,0.00
678.79,445.00,683.00,312.00,551.74,0.00,0.00
678.00,445.00,683.00,312.00,554.43,0.00,0.00
677.21,445.00,683.00,312.00,557.13,0.00,0.00
676.42,445.00,683.00,312.00,559.86,0.00,0.00
675.63,445.00,683.00,312.00,562.60,0.00,0.00
674.84,445.00,683.00,312.00,565.35,0.00,0.00
674.06,445.00,683.00,312.00,568.10,0.00,0.00
673.28,445.00,683.00,312.00,570.85,0.00,0.00
672.50,445.00,683.00,312.00,573.60,0.00,0.00
671.73,445.00,683.00,312.00,576.34,0.00,0.00
670.96,445.00,683.00,312.00,579.08,0.00,0.00
670.19,445.00,683.00,312.00,581.80,0.00,0.00
669.43,445.00,683.00,312.00,584.51,0.00,0.00
668.67,445.00,683.00,312.00,587.21,0.00,0.00
667.92,445.00,683.00,312.00,589.88,0.00,0.00
667.18,445.00,683.00,312.00,592.54,0.00,0.00
666.43,445.00,683.00,312.00,595.17,0.00,0.00
665.70,445.00,683.00,312.00,597.78,0.00,0.00
664.97,445.00,683.00,312.00,600.36,0.00,0.00
664.24,445.00,683.00,312.00,602.92,0.00,0.00
663.52,445.00,683.00,312.00,605.46,0.00,0.00
662.80,445.00,683.00,312.00,607.96,0.00,0.00
662.09,445.00,683.00,312.00,610.44,0.00,0.00
661.39,445.00,683.00,312.00,612.89,0.00,0.00
660.69,445.00,683.00,312.00,615.31,0.00,0.00
660.00,445.00,683.00,312.00,617.69,0.00,0.00
659.31,445.00,681.95,312.00,620.05,0.00,0.00
658.63,445.00,680.64,312.00,622.37,0.00,0.00
657.95,445.00,679.35,312.00,624.67,0.00,0.00
657.28,445.00,678.07,312.00,626.93,0.00,0.00
656.61,445.00,676.80,312.00,629.16,0.00,0.00
655.95,445.00,675.54,312.00,631.36,0.00,0.00
655.30,445.00,674.29,312.00,633.52,0.00,0.00
654.65,445.00,673.05,312.00,635.66,0.00,0.00
654.01,445.00,671.83,312.00,637.76,0.00,0.00
653.37,445.00,670.61,312.00,639.83,0.00,0.00
652.74,445.00,669.41,312.00,641.86,0.00,0.00
652.11,445.00,668.22,312.00,643.87,0.00,0.00
651.49,445.00,667.05,312.00,645.84,0.00,0.00
650.87,445.00,665.88,312.00,647.78,0.00,0.00
650.26,445.00,664.73,312.00,649.69,0.00,0.00
649.66,445.00,663.58,312.00,651.57,0.00,0.00
649.06,445.00,662.45,312.00,653.41,0.00,0.00
648.46,445.00,661.33,312.00,655.23,0.00,0.00
647.88,445.00,660.23,312.00,657.02,0.00,0.00
647.29,445.00,659.13,312.00,658.77,0.00,0.00
646.71,445.00,658.05,312.00,660.49,0.00,0.00
646.14,445.00,656.98,312.00,662.19,0.00,0.00
645.57,445.00,655.92,312.00,663.86,0.00,0.00
645.01,445.00,654.87,312.00,665.49,0.00,0.00
644.45,445.00,653.84,312.00,667.10,0.00,0.00
643.89,445.00,652.81,312.00,668.68,0.00,0.00
643.34,445.00,651.80,312.00,670.23,0.00,0.00
642.80,445.00,650.80,312.00,671.75,0.00,0.00
642.26,445.00,649.81,312.00,673.25,0.00,0.00
641.73,445.00,648.83,312.00,674.71,0.00,0.00
641.20,445.00,647.86,312.00,676.15,0.00,0.00
640.67,445.00,646.91,312.00,677.57,0.00,0.00
640.15,445.00,645.96,312.00,678.96,0.00,0.00
639.64,445.00,645.03,312.00,680.32,0.00,0.00
639.13,445.00,644.10,312.00,681.66,0.00,0.00
638.62,445.00,643.19,312.00,682.97,0.00,0.00
638.12,445.00,642.29,312.00,684.26,0.00,0.00
637.62,445.00,641.40,312.00,685.52,0.00,0.00
637.13,445.00,640.51,312.00,686.76,0.00,0.00
636.64,445.00,639.64,312.00,687.97,0.00,0.00
636.15,445.00,638.78,312.00,689.16,0.00,0.00
635.67,445.00,637.93,312.00,690.33,0.00,0.00
635.20,445.00,637.09,312.00,691.48,0.00,0.00
634.73,445.00,636.26,312.00,692.60,0.00,0.00
634.26,445.00,635.44,312.00,693.70,0.00,0.00
633.80,445.00,634.63,312.00,694.78,0.00,0.00
633.34,445.00,633.83,312.00,695.84,0.00,0.00
632.89,445.00,633.04,312.00,696.87,0.00,0.00
632.43,445.00,632.25,312.00,697.89,0.00,0.00
631.99,445.00,631.48,312.00,698.88,0.00,0.00
631.55,445.00,630.72,312.00,699.86,0.00,0.00
631.11,445.00,629.96,312.00,700.81,0.00,0.00
630.67,445.00,629.22,312.00,701.75,0.00,0.00
630.24,445.00,628.48,312.00,702.66,0.00,0.00
629.82,445.00,627.76,312.00,703.56,0.00,0.00
629.39,445.00,627.04,312.00,704.44,0.00,0.00
628.97,445.00,626.33,312.00,705.30,0.00,0.00
628.56,445.00,625.63,312.00,706.14,0.00,0.00
628.15,445.00,624.94,312.00,706.97,0.00,0.00
627.74,445.00,624.25,312.00,707.77,0.00,0.00
627.33,445.00,623.58,312.00,708.56,0.00,0.00
626.93,445.00,622.91,312.00,709.34,0.00,0.00
626.54,445.00,622.25,312.00,710.09,0.00,0.00
626.14,445.00,621.60,312.00,710.83,0.00,0.00
625.75,445.00,620.96,312.00,711.56,0.00,0.00
625.37,445.00,620.33,312.00,712.00,0.00,0.00
624.98,445.00,619.70,312.00,712.00,0.00,0.00
624.60,445.00,619.08,312.00,712.00,0.00,0.00
624.23,445.00,618.47,312.00,712.00,0.00,0.00
623.85,445.00,617.87,312.00,712.00,0.00,0.00
623.49,445.00,617.27,312.00,712.00,0.00,0.00
623.12,445.00,616.68,312.00,712.00,0.00,0.00
622.76,445.00,616.10,312.00,712.00,0.00,0.00
622.40,445.00,615.53,312.00,712.00,0.00,0.00
622.04,445.00,614.96,312.00,712.00,0.00,0.00
621.69,445.00,614.40,312.00,712.00,0.00,0.00
621.34,445.00,613.85,312.00,712.00,0.00,0.00
620.99,445.00,613.30,312.00,712.00,0.00,0.00
620.65,445.00,612.77,312.00,712.00,0.00,0.00
620.31,445.00,612.23,312.00,712.00,0.00,0.00
619.97,445.00,611.71,312.00,712.00,0.00,0.00
619.63,445.00,611.19,312.00,712.00,0.00,0.00
619.30,445.00,610.68,312.00,712.00,0.00,0.00
618.97,445.00,610.18,312.00,712.00,0.00,0.00
618.65,445.00,609.68,312.00,712.00,0.00,0.00
618.33,445.00,609.19,312.00,712.00,0.00,0.00
618.01,445.00,608.70,312.00,712.00,0.00,0.00
617.69,445.00,608.22,312.00,712.00,0.00,0.00
617.38,445.00,607.75,312.00,712.00,0.00,0.00
617.06,445.00,607.28,312.00,712.00,0.00,0.00
616.76,445.00,606.82,312.00,712.00,0.00,0.00
616.45,445.00,606.37,312.00,712.00,0.00,0.00
616.15,445.00,605.92,312.00,712.00,0.00,0.00
615.85,445.00,605.48,312.00,712.00,0.00,0.00
615.55,445.00,605.04,312.00,712.00,0.00,0.00
615.25,445.00,604.61,312.00,712.00,0.00,0.00
614.96,445.00,604.18,312.00,712.00,0.00,0.00
614.67,445.00,603.76,312.00,712.00,0.00,0.00
614.39,445.00,603.35,312.00,712.00,0.00,0.00
614.10,445.00,602.94,312.00,712.00,0.00,0.00
613.82,445.00,602.54,312.00,712.00,0.00,0.00
613.54,445.00,602.14,312.00,712.00,0.00,0.00
613.26,445.00,601.75,312.00,712.00,0.00,0.00
612.99,445.00,601.36,312.00,712.00,0.00,0.00
612.72,445.00,600.98,312.00,712.00,0.00,0.00
612.45,445.00,600.60,312.00,712.00,0.00,0.00
612.18,445.00,600.23,312.00,712.00,0.00,0.00
611.92,445.00,599.86,312.00,712.00,0.00,0.00
611.65,445.00,599.50,312.00,712.00,0.00,0.00
611.39,445.00,599.14,312.00,712.00,0.00,0.00
611.14,445.00,598.79,312.00,712.00,0.00,0.00
610.88,445.00,598.44,312.00,712.00,0.00,0.00
610.63,445.00,598.10,312.00,712.00,0.00,0.00
610.38,445.00,597.76,312.00,712.00,0.00,0.00
610.13,445.00,597.43,312.00,712.00,0.00,0.00
609.88,445.00,597.10,312.00,712.00,0.00,0.00
609.64,445.00,596.78,312.00,712.00,0.00,0.00
609.40,445.00,596.46,312.00,712.00,0.00,0.00
609.16,445.00,596.14,312.00,712.00,0.00,0.00
608.92,445.00,595.83,312.00,712.00,0.00,0.00
608.68,445.00,595.53,312.00,712.00,0.00,0.00
608.45,445.00,595.23,312.00,712.00,0.00,0.00
608.22,445.00,594.93,312.00,712.00,0.00,0.00
607.99,445.00,594.63,312.00,712.00,0.00,0.00
607.76,445.00,594.35,312.00,712.00,0.00,0.00
607.54,445.00,594.06,312.00,712.00,0.00,0.00
607.32,445.00,593.78,312.00,712.00,0.00,0.00
607.10,445.00,593.50,312.00,712.00,0.00,0.00
606.88,445.00,593.23,312.00,712.00,0.00,0.00
